[2025-12-29T12:26:11.903Z] [INFO] WebSocket client connected: 0EsA6KioppHwWFRIAAEH
[2025-12-29T12:26:11.930Z] [INFO] WebSocket client connected: QHcvUhHp83FzFjZOAAEJ
[2025-12-29T12:26:11.956Z] [INFO] WebSocket client connected: vy0RiTiP62d46_F-AACS
[2025-12-29T12:26:11.960Z] [INFO] WebSocket client connected: jBQ70AkezM0bxT08AADx
[2025-12-29T12:26:11.965Z] [INFO] WebSocket client connected: v18kSJv6ip1tOBZeAADv
[2025-12-29T12:26:12.020Z] [INFO] WebSocket client connected: esl-NPTQkxQId4r9AACb
[2025-12-29T12:26:12.026Z] [INFO] WebSocket client connected: m1JCTuUqC3Hq12MzAAEL
[2025-12-29T12:26:12.155Z] [INFO] WebSocket client connected: TUETPhkeaTVm9KA0AAEP
[2025-12-29T12:26:12.201Z] [INFO] WebSocket client connected: IRHIkqtsNG_kKvK5AAEO
[2025-12-29T12:26:12.890Z] [INFO] WebSocket client connected: CPQsDZIA_bfstFC1AAER
[2025-12-29T12:26:13.158Z] [INFO] WebSocket client connected: e3tgDov9jBiuSpcWAAET
[2025-12-29T12:26:13.889Z] [INFO] [live] Begin update for matchId=69510ee18b90cafc8178eef2 user=68cb88a92e32c82dcca2b32e
[2025-12-29T12:26:13.891Z] [INFO] [live] Begin update for matchId=6951a2f40b5548f818db0703 user=694425083b8530a13056ab4d
[2025-12-29T12:26:14.013Z] [INFO] Using tournamentId: 6946ecf5f7e09caab06c63b7 for user 68cb88a92e32c82dcca2b32e
[2025-12-29T12:26:14.041Z] [INFO] Using tournamentId: 69499e9ba4ed5ec42955d7c8 for user 694425083b8530a13056ab4d
[2025-12-29T12:26:14.132Z] [INFO] Using group for tournament 6946ecf5f7e09caab06c63b7 (user 68cb88a92e32c82dcca2b32e):
[2025-12-29T12:26:14.132Z] [INFO] Group ID: 69510e568b90cafc8178e728, Slots: 18
[2025-12-29T12:26:14.133Z] [INFO]  Slot 1: teamId=6950fd938b90cafc8178d975, teamName=OSJA ESPORTS, players=5
[2025-12-29T12:26:14.133Z] [INFO]  Slot 2: teamId=69510277944ea694ffe187a2, teamName=YANGON GALACTICOS, players=4
[2025-12-29T12:26:14.133Z] [INFO]  Slot 3: teamId=6951025f944ea694ffe18797, teamName=TEAM SECRET, players=8
[2025-12-29T12:26:14.133Z] [INFO]  Slot 4: teamId=6910604da9c93d9de0193130, teamName=BLACK EAGLE ESPORTS, players=6
[2025-12-29T12:26:14.134Z] [INFO]  Slot 5: teamId=69510234944ea694ffe1877f, teamName=WINNING OF FUTURE, players=4
[2025-12-29T12:26:14.134Z] [INFO]  Slot 6: teamId=695101cb944ea694ffe18750, teamName=PEACOCK	, players=5
[2025-12-29T12:26:14.134Z] [INFO]  Slot 7: teamId=695101ad944ea694ffe18741, teamName=PHOENIX ESPORTS, players=10
[2025-12-29T12:26:14.134Z] [INFO]  Slot 8: teamId=6951019d944ea694ffe18736, teamName=MISFIT INTERNATIONAL, players=9
